,time,output,current
9938,31581.07150002033,3.6208687,-0.6795620099999999
9939,31582.07150006783,3.6207111,-0.6795422999999999
9940,31583.07150011533,3.6209476,-0.6795620099999999
9941,31584.07150016283,3.6209476,-0.67970001
9942,31585.07150021032,3.6210656,-0.67958167
9943,31586.07150025782,3.6208687,-0.6796211499999999
9944,31587.07150030532,3.62079,-0.6796211499999999
9945,31588.07150035282,3.6205928,-0.67946344
9946,31589.07150040031,3.62079,-0.6796211499999999
9947,31590.07150044781,3.6206717,-0.6797197300000001
9948,31591.07150049531,3.6205535,-0.67952252
9949,31592.07150054281,3.6206717,-0.67964087
9950,31593.0715005903,3.6205928,-0.67975909
9951,31594.0715006378,3.6204352,-0.67936481
9952,31595.0715006853,3.6205535,-0.67970001
9953,31596.0715007328,3.6204352,-0.6797197300000001
9954,31597.07150078029,3.6203172,-0.67970001
9955,31598.07150082779,3.6201596,-0.6795422999999999
9956,31599.07150087529,3.6202776,-0.67958167
9957,31600.07150092279,3.6202383,-0.67958167
9958,31601.07150097028,3.620199,-0.6795620099999999
9959,31602.07150101778,3.6202776,-0.6796211499999999
9960,31603.07150106528,3.62012,-0.67958167
9961,31604.07150111278,3.6202383,-0.6795028099999999
9962,31605.07150116027,3.6200414,-0.67958167
9963,31606.07150120777,3.6200807,-0.67958167
9964,31607.07150125527,3.6200807,-0.6796211499999999
9965,31608.07150130277,3.6198838,-0.6794043000000001
9966,31609.07150135026,3.6198838,-0.67964087
9967,31610.07150139776,3.6198444,-0.6796013799999999
9968,31611.07150144526,3.6198444,-0.67966058
9969,31612.07150149276,3.6198051,-0.6795422999999999
9970,31613.07150154025,3.6196475,-0.67944366
9971,31614.07150158775,3.6198444,-0.6796013799999999
9972,31615.07150163525,3.6196868,-0.67975909
9973,31616.07150168275,3.6196475,-0.6796211499999999
9974,31617.07150173024,3.6196868,-0.6796211499999999
9975,31618.07150177774,3.6194899,-0.67958167
9976,31619.07150182524,3.6193717,-0.67952252
9977,31620.07150187274,3.6193717,-0.6795620099999999
9978,31621.07150192023,3.6193717,-0.67946344
9979,31622.07150196773,3.6192927,-0.67942395
9980,31623.07150201523,3.6191747,-0.67952252
9981,31624.07150206272,3.619411,-0.6796211499999999
9982,31625.07150211022,3.6191351,-0.6795422999999999
9983,31626.07150215772,3.6193717,-0.6795028099999999
9984,31627.07150220522,3.6190958,-0.67958167
9985,31628.07150225271,3.6192141,-0.6795620099999999
9986,31629.07150230021,3.6190171,-0.67948315
9987,31630.07150234771,3.6190565,-0.67966058
9988,31631.07150239521,3.6191747,-0.67966058
9989,31632.0715024427,3.6188595,-0.67952252
9990,31633.0715024902,3.6191351,-0.67958167
9991,31634.0715025377,3.6189382,-0.6798183
9992,31635.0715025852,3.6190958,-0.67966058
9993,31636.07150263269,3.6187413,-0.6796211499999999
9994,31637.07150268019,3.6188989,-0.67958167
9995,31638.07150272769,3.6187806,-0.67952252
9996,31639.07150277519,3.61882,-0.67958167
9997,31640.07150282268,3.6187019,-0.67958167
9998,31641.07150287018,3.618623,-0.67930573
9999,31642.07150291768,3.6187413,-0.6796211499999999
10000,31643.07150296518,3.6185443,-0.6795028099999999
10001,31644.07150301267,3.6185443,-0.67958167
10002,31645.07150306017,3.6185048,-0.67946344
10003,31646.07150310767,3.6185048,-0.67968024
10004,31647.07150315517,3.6184654,-0.67970001
10005,31648.07150320266,3.6184261,-0.6795422999999999
10006,31649.07150325016,3.6183472,-0.67958167
10007,31650.07150329766,3.6182685,-0.67938458
10008,31651.07150334516,3.6182292,-0.67942395
10009,31652.07150339265,3.6181896,-0.67958167
10010,31653.07150344015,3.6183078,-0.67977887
10011,31654.07150348765,3.6182685,-0.67964087
10012,31655.07150353515,3.6180716,-0.67944366
10013,31656.07150358264,3.6181502,-0.67966058
10014,31657.07150363014,3.6179926,-0.6795620099999999
10015,31658.07150367764,3.6179926,-0.6795620099999999
10016,31659.07150372514,3.617914,-0.6795028099999999
